MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
43,3,1245,41,2925000.0,33,57.14285714285714,39.43908851884312,43.19398188723343,Low,High,High,Can't Lose Them,71341.46341463414,Graha Family,30.0,0
44,2,1572,31,3090000.0,33,42.85714285714285,41.66385761477786,39.173666823973576,Low,High,High,Can't Lose Them,99677.41935483873,Intro,31.0,0
45,10,415,30,2657500.0,33,41.42857142857143,35.83226589361559,36.75361244072901,Low,High,High,Can't Lose Them,88583.33333333333,Bukit Darmo Golf,37.0,0
46,3,98,13,949500.0,67,17.142857142857142,12.802534888424455,32.31513067709387,Medium,Medium,Medium,About to Sleep,73038.46153846153,Graha Family,39.0,0
47,10,1572,5,294500.0,33,5.714285714285714,3.9708757500168543,14.228387154767525,Low,Medium,Medium,Hibernating,58900.0,Bukit Darmo Golf,47.0,0
48,10,2367,4,205000.0,33,4.285714285714286,2.7641070585855863,13.349940448099956,Low,Medium,Medium,Hibernating,51250.0,Bukit Darmo Golf,44.0,0
49,4,70,47,4467500.0,100,65.71428571428571,60.23730870356637,75.31719813928403,High,High,High,Champions,95053.1914893617,Sukomanunggal,27.0,0
51,5,161,19,2030000.0,67,25.71428571428571,27.37140160453044,40.02856243960538,Medium,High,High,At Risk,106842.1052631579,Klampis,50.0,0
52,3,802,29,2745000.0,33,40.0,37.01206768691432,36.67068922897144,Low,High,High,Can't Lose Them,94655.1724137931,Graha Family,35.0,0
53,2,754,29,2394000.0,33,40.0,32.27937706465313,35.09312568821771,Low,High,High,Can't Lose Them,82551.72413793103,Intro,9.0,0
54,3,303,33,3527500.0,33,45.71428571428572,47.56286658127149,42.09238409851907,Low,High,High,Can't Lose Them,106893.9393939394,Graha Family,36.0,0
55,2,1867,5,315000.0,33,5.714285714285714,4.247286455875413,14.320524056720377,Low,Medium,Medium,Hibernating,63000.0,Intro,32.0,0
57,2,1134,46,5245000.0,33,64.28571428571429,70.7206903525922,56.002134879435495,Low,High,High,Can't Lose Them,114021.73913043478,Intro,38.0,0
58,5,884,3,230000.0,33,2.857142857142857,3.101193285242365,12.98611204746174,Low,Medium,Medium,Hibernating,76666.66666666667,Klampis,6.0,0
59,2,1806,33,2842500.0,33,45.71428571428572,38.32670397087575,39.01366322838715,Low,High,High,Can't Lose Them,86136.36363636363,Intro,42.0,0
60,10,1769,7,415000.0,33,8.571428571428571,5.5956313625025285,15.722353311310366,Low,Medium,Medium,Hibernating,59285.71428571428,Bukit Darmo Golf,6.0,0
61,10,1527,8,630000.0,33,10.0,8.494572911750826,17.164857637250275,Low,Medium,Medium,Hibernating,78750.0,Bukit Darmo Golf,6.0,0
62,5,1598,21,1667500.0,33,28.57142857142857,22.483651318007148,28.01835996314524,Low,High,High,Can't Lose Them,79404.76190476191,Klampis,28.0,0
63,3,1036,36,3057500.0,33,50.0,41.22564552012405,41.408548506708016,Low,High,High,Can't Lose Them,84930.55555555556,Graha Family,67.0,0
64,5,52,51,4592500.0,100,71.42857142857143,61.92273983685027,77.78377042180723,High,High,High,Champions,90049.01960784313,Klampis,29.0,0
65,10,1917,31,2587500.0,33,42.85714285714285,34.88842445897661,36.91518910537315,Low,High,High,Can't Lose Them,83467.74193548386,Bukit Darmo Golf,44.0,0
66,2,56,67,7195000.0,100,94.28571428571428,97.01341603182094,97.09971010584508,High,High,High,Champions,107388.05970149254,Intro,26.0,0
67,2,1593,10,770000.0,33,12.857142857142856,10.382255781028787,18.74646621272388,Low,Medium,Medium,Hibernating,77000.0,Intro,38.0,0
68,10,2408,2,85000.0,33,1.4285714285714286,1.146093170633048,11.85822153306816,Low,Medium,Low,Hibernating,42500.0,Bukit Darmo Golf,6.0,0
69,10,1776,29,3185000.0,33,40.0,42.94478527607362,38.648261758691206,Low,High,High,Can't Lose Them,109827.58620689657,Bukit Darmo Golf,44.0,0
70,5,233,19,2365000.0,33,25.71428571428571,31.888357041731275,30.20088091867233,Low,High,High,Can't Lose Them,124473.68421052632,Klampis,6.0,0
72,2,1786,24,2857500.0,33,32.857142857142854,38.528955706869816,34.79536618800423,Low,High,High,Can't Lose Them,119062.5,Intro,32.0,0
73,5,21,60,4922500.0,100,84.28571428571429,66.37227802871975,83.55266410481134,High,High,High,Champions,82041.66666666667,Klampis,31.0,0
74,4,35,68,5477500.0,100,95.71428571428572,73.85559226050023,89.85662599159532,High,High,High,Champions,80551.4705882353,Sukomanunggal,,0
